Num_Cta,Cli_codigo,TipoCuenta,Sucursal,FechaApertura,Saldo
191-10001-40,C0001,CTA CORRIENTE,Miraflores,09/04/2019,8982.4
191-10002-71,C0002,NA,Surco,18/05/2011,11313.96
191-10003-36,C0003,CTA CORRIENTE,San Isidro,28/10/2012,7979.71
191-10004-71,C0004,CTA AHORROS SOLES,Surco,08/07/2011,13640.25
191-10005-97,C0005,CTA CORRIENTE,Surco,02/04/2018,3755.49
191-10006-57,C0006,CTA CORRIENTE,Miraflores,18/03/2018,9586.25
191-10007-45,C0007,CTA AHORROS SOLES,Surco,04/05/2020,5211.27
191-10008-68,C0008,CTA AHORROS SOLES,Surco,07/06/2019,11036.34
191-10009-32,C0009,CTA CORRIENTE,Lince,07/05/2012,12484.48
191-10010-76,C0010,NA,Miraflores,31/07/2024,5804.2
191-10011-33,C0011,CTA CORRIENTE,Miraflores,13/12/2022,11939.04
191-10012-80,C0012,CTA AHORROS DOLARES,Callao,17/02/2019,6840.25
191-10013-54,C0013,CTA AHORROS SOLES,Cajamarca,12/03/2013,4177.89
191-10014-21,C0014,CTA CORRIENTE,San Isidro,03/11/2011,3939.31
191-10015-71,C0015,CTA CORRIENTE,Cajamarca,20/08/2010,2683.43
191-10016-19,C0016,NA,San Isidro,19/12/2010,9353.21
191-10017-60,C0017,CTA AHORROS SOLES,Callao,08/08/2016,8822.77
191-10018-24,C0018,NA,Cajamarca,08/06/2024,12515.41
191-10019-80,C0019,CTA AHORROS SOLES,Callao,18/05/2023,8312.86
191-10020-74,C0020,CTA CORRIENTE,Lince,28/05/2024,10383.18
191-10021-58,C0021,NA,Surco,12/03/2016,13191.58
191-10022-51,C0022,CTA AHORROS SOLES,San Isidro,13/06/2015,14523.23
191-10023-94,C0023,CTA AHORROS DOLARES,Miraflores,30/10/2016,14790.71
191-10024-59,C0024,CTA CORRIENTE,Miraflores,08/12/2013,9869.8
191-10025-63,C0025,CTA AHORROS SOLES,La Molina,25/10/2022,5968.09
191-10026-55,C0026,CTA AHORROS SOLES,Cajamarca,02/04/2019,10958.42
191-10027-81,C0027,CTA AHORROS SOLES,San Isidro,25/12/2018,2229.59
191-10028-90,C0028,NA,Callao,01/09/2020,12123.15
191-10029-48,C0029,CTA AHORROS DOLARES,San Isidro,24/03/2023,2256.23
191-10030-47,C0030,CTA AHORROS DOLARES,La Molina,22/05/2021,7280.75
191-10031-28,C0031,CTA AHORROS SOLES,Lince,29/10/2022,911.9
191-10032-52,C0032,CTA AHORROS DOLARES,Miraflores,17/09/2013,11412.86
191-10033-17,C0033,NA,Callao,06/01/2016,1496.87
191-10034-69,C0034,CTA AHORROS DOLARES,Cajamarca,19/07/2020,4472.12
191-10035-63,C0035,CTA AHORROS SOLES,Cajamarca,07/12/2017,10534.6
191-10036-49,C0036,CTA AHORROS SOLES,Surco,27/10/2024,5777.59
191-10037-47,C0037,CTA AHORROS DOLARES,Lince,23/06/2021,11972.24
191-10038-23,C0038,CTA AHORROS DOLARES,San Isidro,05/04/2018,4154.29
191-10039-22,C0039,CTA AHORROS DOLARES,Callao,25/09/2024,14370.18
191-10040-57,C0040,CTA AHORROS SOLES,Lince,18/11/2011,13512.32
191-10041-13,C0041,CTA CORRIENTE,Miraflores,02/04/2019,3041.46
191-10042-63,C0042,NA,Lince,24/06/2010,7686.46
191-10043-23,C0043,CTA AHORROS DOLARES,Miraflores,01/03/2015,14798.19
191-10044-24,C0044,CTA AHORROS SOLES,Callao,30/04/2023,11996.57
191-10045-70,C0045,CTA AHORROS SOLES,Lince,08/05/2014,2683.23
191-10046-52,C0046,CTA AHORROS DOLARES,Surco,28/09/2016,2557.8
191-10047-97,C0047,CTA AHORROS SOLES,Cajamarca,14/09/2010,4629.27
191-10048-34,C0048,NA,Lince,06/12/2022,1741.55
191-10049-19,C0049,CTA AHORROS SOLES,La Molina,25/07/2017,8146.11
191-10050-61,C0050,CTA AHORROS SOLES,Surco,14/11/2017,12565.81
191-10051-58,C0051,CTA CORRIENTE,Miraflores,30/01/2010,11787.62
191-10052-48,C0052,CTA CORRIENTE,Cajamarca,11/04/2013,8418.52
191-10053-80,C0053,CTA CORRIENTE,Lince,20/02/2020,13409.3
191-10054-15,C0054,CTA AHORROS DOLARES,Cajamarca,08/02/2013,9646.17
191-10055-77,C0055,CTA AHORROS SOLES,Callao,10/09/2019,1413.1
191-10056-38,C0056,CTA CORRIENTE,Cajamarca,14/02/2021,8287.27
191-10057-16,C0057,CTA AHORROS SOLES,Callao,25/09/2015,10455.23
191-10058-54,C0058,CTA CORRIENTE,Callao,03/06/2015,2977.04
191-10059-97,C0059,CTA AHORROS SOLES,Cajamarca,08/09/2022,8399.83
191-10060-97,C0060,CTA AHORROS SOLES,Miraflores,15/10/2011,7810.78
191-10061-60,C0061,CTA AHORROS SOLES,San Isidro,08/06/2011,11612.96
191-10062-99,C0062,CTA AHORROS SOLES,Callao,24/05/2015,2520.04
191-10063-84,C0063,CTA CORRIENTE,Cajamarca,14/02/2015,11768.25
191-10064-94,C0064,CTA CORRIENTE,Miraflores,11/07/2010,9280.16
191-10065-48,C0065,CTA CORRIENTE,La Molina,03/04/2022,13348.57
191-10066-46,C0066,CTA AHORROS DOLARES,La Molina,01/02/2010,9979.99
191-10067-92,C0067,NA,Lince,07/10/2013,4242.45
191-10068-50,C0068,CTA AHORROS SOLES,Callao,23/12/2018,9089.45
191-10069-83,C0069,CTA AHORROS DOLARES,Miraflores,05/03/2013,3455.59
191-10070-51,C0070,NA,Cajamarca,10/12/2021,2707.23
191-10071-93,C0071,NA,Lince,05/06/2015,12579.85
191-10072-43,C0072,NA,La Molina,23/05/2017,11836.97
191-10073-54,C0073,NA,San Isidro,31/07/2014,2854.75
191-10074-96,C0074,CTA AHORROS DOLARES,Lince,01/12/2016,10243.28
191-10075-67,C0075,CTA CORRIENTE,La Molina,05/02/2020,4895.59
191-10076-42,C0076,CTA CORRIENTE,La Molina,15/05/2020,12661.91
191-10077-99,C0077,NA,Cajamarca,15/06/2019,8911.12
191-10078-91,C0078,CTA AHORROS SOLES,Callao,26/07/2019,7826.97
191-10079-70,C0079,NA,Lince,11/02/2024,10374.99
191-10080-88,C0080,CTA AHORROS DOLARES,Cajamarca,24/01/2016,11983.4
191-10081-36,C0081,NA,San Isidro,01/05/2023,4751.14
191-10082-63,C0082,CTA AHORROS DOLARES,La Molina,18/01/2013,8766.32
191-10083-73,C0083,NA,San Isidro,22/05/2010,9087.05
191-10084-94,C0084,NA,San Isidro,10/02/2017,7226.69
191-10085-56,C0085,NA,Surco,03/11/2012,2627.3
191-10086-77,C0086,NA,Cajamarca,09/08/2010,14680.17
191-10087-38,C0087,CTA CORRIENTE,San Isidro,05/02/2012,13848.13
191-10088-19,C0088,CTA AHORROS SOLES,San Isidro,16/01/2022,6495.31
191-10089-47,C0089,CTA AHORROS DOLARES,Miraflores,28/04/2019,666.6
191-10090-93,C0090,CTA CORRIENTE,Lince,21/02/2020,11992.33
191-10091-28,C0091,CTA AHORROS DOLARES,Surco,09/04/2020,8614.67
191-10092-77,C0092,CTA AHORROS SOLES,Lince,18/01/2020,2521.11
191-10093-26,C0093,CTA CORRIENTE,Miraflores,04/04/2020,8205.74
191-10094-25,C0094,CTA AHORROS DOLARES,Cajamarca,02/11/2013,13806.34
191-10095-14,C0095,CTA AHORROS SOLES,Callao,26/12/2024,5349.1
191-10096-74,C0096,CTA AHORROS DOLARES,Lince,06/01/2013,4470.43
191-10097-47,C0097,CTA AHORROS SOLES,Surco,24/07/2012,878.22
191-10098-76,C0098,NA,Lince,07/11/2017,12313.83
191-10099-38,C0099,CTA CORRIENTE,Callao,29/03/2012,7131.85
191-10100-28,C0100,CTA CORRIENTE,Cajamarca,07/12/2017,9863.54
191-10101-55,C0101,NA,Surco,09/10/2012,580.58
191-10102-92,C0102,CTA AHORROS DOLARES,Surco,13/12/2014,1071.29
191-10103-16,C0103,CTA AHORROS DOLARES,Lince,08/06/2024,4549.93
191-10104-46,C0104,NA,Callao,11/11/2024,9395.96
191-10105-97,C0105,CTA CORRIENTE,San Isidro,14/01/2022,2143.11
191-10106-51,C0106,CTA CORRIENTE,San Isidro,21/06/2015,13055.36
191-10107-45,C0107,CTA AHORROS SOLES,Surco,07/11/2016,11057.37
191-10108-97,C0108,CTA AHORROS SOLES,Lince,06/08/2010,10674.77
191-10109-92,C0109,CTA AHORROS SOLES,Miraflores,04/06/2016,13359.72
191-10110-75,C0110,NA,Callao,14/11/2010,4608.46
191-10111-29,C0111,CTA AHORROS SOLES,Callao,07/05/2016,14837.58
191-10112-82,C0112,CTA AHORROS SOLES,La Molina,23/08/2013,1145.86
191-10113-17,C0113,NA,La Molina,18/12/2015,12552.94
191-10114-18,C0114,NA,San Isidro,05/06/2018,6923.81
191-10115-10,C0115,CTA AHORROS SOLES,Callao,25/06/2016,1902.82
191-10116-87,C0116,CTA AHORROS DOLARES,San Isidro,06/06/2023,6423.35
191-10117-62,C0117,CTA CORRIENTE,Miraflores,19/01/2022,14093.28
191-10118-15,C0118,NA,San Isidro,26/02/2013,2026.82
191-10119-43,C0119,CTA CORRIENTE,Cajamarca,16/12/2016,12398.66
191-10120-48,C0120,NA,Miraflores,18/06/2021,13845.14
191-10121-70,C0121,NA,Callao,27/02/2020,6782.62
191-10122-59,C0122,NA,La Molina,04/12/2019,10775.99
191-10123-42,C0123,CTA CORRIENTE,Cajamarca,24/12/2021,8646.37
191-10124-65,C0124,CTA AHORROS SOLES,San Isidro,03/08/2020,11508.83
191-10125-25,C0125,CTA AHORROS DOLARES,La Molina,04/01/2020,4081.66
191-10126-66,C0126,NA,Miraflores,14/07/2021,10615.37
191-10127-41,C0127,NA,Cajamarca,23/06/2024,7439.92
191-10128-82,C0128,NA,Callao,25/01/2018,1231.24
191-10129-84,C0129,NA,Lince,16/03/2011,8113.14
191-10130-62,C0130,CTA AHORROS SOLES,Callao,18/08/2015,13854.59
